query,std reasoner,std nodes explored,std min depth,success,time
1,std,1000000,0,False,79.625
2,std,3,2,True,0.0
3,std,2,1,True,0.0
4,std,2,1,True,0.0
5,std,1000000,0,False,67.59375
6,std,2,1,True,0.0
7,std,2,1,True,0.0
8,std,7,6,True,0.0
9,std,3,2,True,0.0
10,std,3,2,True,0.015625
11,std,2,1,True,0.0
12,std,2,1,True,0.0
13,std,2,1,True,0.0
14,std,3,2,True,0.0
15,std,2,1,True,0.0
16,std,3,2,True,0.0
17,std,2,1,True,0.0
18,std,2,1,True,0.0
19,std,1000000,0,False,80.03125
20,std,2,1,True,0.0
21,std,2,1,True,0.0
22,std,2,1,True,0.0
23,std,6,4,True,0.015625
24,std,3,2,True,0.0
25,std,4,2,True,0.0
26,std,4,2,True,0.0
27,std,3,2,True,0.0
28,std,2,1,True,0.0
29,std,1000000,0,False,88.140625
30,std,1000000,0,False,74.859375
31,std,5,4,True,0.0
32,std,1000000,0,False,93.1875
33,std,1000000,0,False,72.875
34,std,5,4,True,0.0
35,std,2,1,True,0.0
36,std,1000000,0,False,66.21875
37,std,2,1,True,0.0
38,std,2,1,True,0.0
39,std,1000000,0,False,84.21875
40,std,2,1,True,0.0
41,std,2,1,True,0.0
42,std,1000000,0,False,76.8125
43,std,1000000,0,False,90.796875
44,std,1000000,0,False,101.375
45,std,16,2,True,0.015625
46,std,1000000,0,False,94.625
47,std,2,1,True,0.015625
48,std,4,2,True,0.0
49,std,1000000,0,False,90.609375
50,std,2,1,True,0.0
51,std,2,1,True,0.0
52,std,1000000,0,False,99.4375
53,std,1000000,0,False,95.28125
54,std,2,1,True,0.0
55,std,13,8,True,0.0
56,std,1000000,0,False,90.953125
57,std,2,1,True,0.0
58,std,2,1,True,0.0
59,std,1000000,0,False,81.609375
60,std,1000000,0,False,70.390625
61,std,2,1,True,0.0
62,std,16,2,True,0.015625
63,std,1000000,0,False,99.296875
64,std,3,2,True,0.0
65,std,1000000,0,False,91.140625
66,std,1000000,0,False,81.640625
67,std,2,1,True,0.0
68,std,2,1,True,0.0
69,std,2,1,True,0.0
70,std,2,1,True,0.0
71,std,2,1,True,0.0
72,std,1000000,0,False,104.421875
73,std,5,4,True,0.0
74,std,1000000,0,False,79.9375
75,std,1000000,0,False,81.203125
76,std,1000000,0,False,76.296875
77,std,1000000,0,False,108.453125
78,std,2,1,True,0.0
79,std,11,3,True,0.0
80,std,2,1,True,0.0
81,std,2,1,True,0.0
82,std,1000000,0,False,79.546875
83,std,18,9,True,0.0
84,std,2,1,True,0.0
85,std,3,2,True,0.0
86,std,1000000,0,False,88.5625
87,std,1000000,0,False,77.015625
88,std,1000000,0,False,70.125
89,std,1000000,0,False,87.65625
90,std,2,1,True,0.0
91,std,1000000,0,False,71.046875
92,std,3,2,True,0.0
93,std,1000000,0,False,62.484375
94,std,1000000,0,False,63.203125
95,std,11,6,True,0.0
96,std,2,1,True,0.0
97,std,1000000,0,False,75.375
98,std,7,2,True,0.0
99,std,12,6,True,0.0
100,std,2,1,True,0.0
