query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0005541920000000644
2,std,4,3,True,0.0014455509999997673
3,std,9,5,True,0.0028844820000006877
4,std,2,1,True,0.0004164610000003677
5,std,3,2,True,0.0006576779999996063
6,std,75,6,True,0.02363672600000033
7,std,1000000,0,False,58.632035208
8,std,71,5,True,0.029070658000009075
9,std,2,1,True,0.0006102250000026288
10,std,14,7,True,0.05844728099999941
11,std,2,1,True,0.0005788500000107888
12,std,3,2,True,0.0008192559999997684
13,std,7,6,True,0.002870508000000882
14,std,285,7,True,0.1205586210000007
15,std,3,2,True,0.00118972699999631
16,std,2,1,True,0.001006760999999301
17,std,4,3,True,0.0014676440000016555
18,std,2,1,True,0.0005527100000080054
19,std,2,1,True,0.000410102000003576
20,std,2,1,True,0.0005587680000047612
21,std,2,1,True,8.581400000196027e-05
22,std,30,2,True,0.04114165400000047
23,std,1000000,0,False,62.502322342
24,std,73,6,True,0.08613243699998918
25,std,2,1,True,0.0005356189999901062
26,std,2,1,True,0.0004856050000086043
27,std,111,9,True,0.052236100000001784
28,std,4,3,True,0.0013594410000052903
29,std,2,1,True,0.0005385590000059892
30,std,1000000,0,False,48.89528047100001
31,std,11,3,True,0.00445706600001472
32,std,4,3,True,0.0016323520000014469
33,std,69349,9,True,3.002976815000011
34,std,99,10,True,0.04339733500000875
35,std,3,2,True,0.0007834849999994731
36,std,3,2,True,0.0007188670000175534
37,std,9,7,True,0.0030538759999956255
38,std,8,7,True,0.002973618999988048
39,std,2,1,True,0.0006544080000026042
40,std,2,1,True,0.0005131290000122135
41,std,81,6,True,0.027477751999981592
42,std,7,3,True,0.002844978000013043
43,std,19,2,True,0.011111401999983173
44,std,10,2,True,0.004122641000009253
45,std,2,1,True,0.00037974900001813694
46,std,30,2,True,0.010695846999993819
47,std,4,3,True,0.0011456519999910597
48,std,2,1,True,0.00043370200000936165
49,std,3,2,True,0.0006820819999973082
50,std,6,5,True,0.0018744850000018687
51,std,2,1,True,0.0005186410000135311
52,std,457556,7,True,22.866134493000004
53,std,2,1,True,0.00045913599998925747
54,std,5,2,True,0.001874250999975402
55,std,2,1,True,0.0004943239999875004
56,std,4,3,True,0.0014258999999867683
57,std,3,2,True,0.0007937560000073063
58,std,76,6,True,0.03337846800002353
59,std,84,11,True,0.02716933700000368
60,std,2,1,True,0.0005262660000084907
61,std,12,5,True,0.0046188530000108585
62,std,2,1,True,0.0005421420000004673
63,std,3,2,True,0.0035937970000077257
64,std,7,3,True,0.0029177399999866793
65,std,4,3,True,0.0013843320000148651
66,std,107,6,True,0.3464134739999736
67,std,4,3,True,0.0013210349999894788
68,std,4,3,True,0.0007188399999904505
69,std,3,2,True,0.0008613599999875987
70,std,11,7,True,0.004308394000020144
71,std,6,2,True,0.002347563999990143
72,std,3,2,True,0.0010930720000033034
73,std,16,3,True,0.005707981000000473
74,std,2,1,True,0.00048466000001212706
75,std,92,8,True,0.03474800399999367
76,std,2,1,True,0.0005453729999942425
77,std,6,2,True,0.0023583560000020043
78,std,4,3,True,0.0014125460000116163
79,std,2,1,True,0.0004692640000030224
80,std,3,2,True,0.0007223110000040833
81,std,6,5,True,0.0018285289999937504
82,std,3,2,True,0.0008429110000065521
83,std,2,1,True,0.00047941400001150214
84,std,3,2,True,0.006777463000020134
85,std,68,4,True,0.024540460999986635
86,std,2,1,True,8.639199998583535e-05
87,std,76,7,True,0.027693279000004623
88,std,2,1,True,0.00010922500001697699
89,std,6,5,True,0.002628678000007767
90,std,3,2,True,0.00011217100001204017
91,std,10,6,True,0.007309630000008838
92,std,291,15,True,0.06429466099999104
93,std,5,4,True,0.0019284530000049926
94,std,16,2,True,0.03875215600001525
95,std,7,6,True,0.00282480900000337
96,std,2,1,True,0.0005940009999960694
97,std,4,3,True,0.0015485340000225278
98,std,2,1,True,0.0005089480000037838
99,std,2,1,True,0.0004833800000199062
100,std,5,4,True,0.0018450089999930697
