query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.5669390980000006
2,ming,4,3,True,0.010623249000000001
3,ming,6,5,True,0.05340849999999975
4,ming,2,1,True,0.02087324100000032
5,ming,3,2,True,0.004954897999999375
6,ming,22507,6,True,3.440431790999999
7,ming,1000000,0,False,125.105390539
8,ming,50731,5,True,4.69376618299998
9,ming,2,1,True,0.005734262000004264
10,ming,29,13,True,0.192486649000017
11,ming,2,1,True,0.012550499000013815
12,ming,3,2,True,0.05392640499999857
13,ming,37,6,True,0.25032797700001197
14,ming,1000000,0,False,183.82824627099998
15,ming,3,2,True,0.005439388999946004
16,ming,3,2,True,0.023638131999973666
17,ming,214137,3,True,25.996759483000005
18,ming,2,1,True,0.04110367399999859
19,ming,2,1,True,0.034655729000007796
20,ming,2,1,True,0.023177197000052274
21,ming,2,1,True,0.00015914599998723133
22,ming,289857,2,True,40.542293481
23,ming,909,15,True,0.2537482659999455
24,ming,612,14,True,0.5921481530000392
25,ming,2,1,True,0.005143345000021782
26,ming,2,1,True,0.00011616799997682392
27,ming,10,9,True,0.08175066600000491
28,ming,4,3,True,0.00840613600001916
29,ming,5,4,True,0.026866010999981427
30,ming,12975,9,True,1.7908617909999975
31,ming,4,3,True,0.0381292099999655
32,ming,4,3,True,0.021074466000015946
33,ming,1000000,0,False,173.61805314999992
34,ming,11,10,True,0.21428931299999476
35,ming,3,2,True,0.008851528000036524
36,ming,3,2,True,0.02484155899992402
37,ming,8,7,True,0.14110548400003609
38,ming,8,7,True,0.043435571000031814
39,ming,2,1,True,0.02383264800005236
40,ming,2,1,True,0.018573464000041895
41,ming,4613,15,True,0.38296056299998327
42,ming,4,3,True,0.013390863999916292
43,ming,3,2,True,0.0253636390000338
44,ming,3,2,True,0.005893447000062224
45,ming,2,1,True,0.00013326199996299692
46,ming,289857,2,True,40.008243795
47,ming,107012,3,True,12.916136016999985
48,ming,2,1,True,0.023796944999958214
49,ming,3,2,True,0.008744099000068672
50,ming,6,5,True,0.05324120199998106
51,ming,2,1,True,0.00020444299991595472
52,ming,107012,3,True,10.872229016999995
53,ming,2,1,True,0.01769011299995782
54,ming,3,2,True,0.008437027000013586
55,ming,2,1,True,0.0001250249999884545
56,ming,3,2,True,0.027245389999961844
57,ming,3,2,True,0.025264348000064274
58,ming,942,15,True,0.2776775510000107
59,ming,10,9,True,0.25999748200001704
60,ming,2,1,True,0.0001318839999839838
61,ming,6,5,True,0.05427432900000895
62,ming,2,1,True,0.035716420999960974
63,ming,3,2,True,0.00015765400007694552
64,ming,4,3,True,0.025850980999962303
65,ming,20,3,True,0.05012781999994331
66,ming,6,5,True,0.0659709679999878
67,ming,4,3,True,0.011540624000076605
68,ming,3,2,True,0.00020094600006359542
69,ming,3,2,True,0.007477531000063209
70,ming,278337,7,True,38.18672939299995
71,ming,726559,2,True,81.21436919799999
72,ming,1000000,0,False,104.18007091700008
73,ming,107013,4,True,10.543230408999989
74,ming,2,1,True,0.010708286999943084
75,ming,9,8,True,0.08567171499998949
76,ming,2,1,True,0.045343009000021084
77,ming,3,2,True,0.02603947199997947
78,ming,4,3,True,0.02660246699997515
79,ming,5,4,True,0.00031566800009841245
80,ming,3,2,True,0.020130998000013278
81,ming,6,5,True,0.04961689200001729
82,ming,3,2,True,0.025261884000087775
83,ming,2,1,True,0.017989768000006734
84,ming,3,2,True,0.003883245999986684
85,ming,6312,15,True,2.1932660840000153
86,ming,2,1,True,0.0001406029999770908
87,ming,25748,15,True,3.3725937269999804
88,ming,2,1,True,0.0001982260000659153
89,ming,6,5,True,0.05490239100004146
90,ming,3,2,True,0.0002100510000673239
91,ming,7,6,True,0.12374614400005157
92,ming,415,15,True,0.467523308000068
93,ming,5,4,True,0.008151299000019208
94,ming,3,2,True,0.009674588000052609
95,ming,7,6,True,0.14467015300010644
96,ming,2,1,True,0.0001872719999482797
97,ming,22,3,True,0.048410673000034876
98,ming,2,1,True,0.023953078999966237
99,ming,2,1,True,0.023167370999999548
100,ming,5,4,True,0.013440569000067626
